POSTE,RR
15207002,680.7
15226001,1333.4
15235002,1022.3
15258004,296.1
16028001,1148.9
16078001,1096.3
16089001,1011.1
16113001,1042.3
16193001,1311.7
16225001,1141.9
16256001,1326.8
16279001,1124.9
16363001,1105.9
16366001,1100.6
16390001,1066.0
16403001,1279.6
17093002,1047.8
17111001,1044.8
17218001,1031.8
17224001,1089.2
17243002,1272.7
17248001,1119.0
17268002,1119.4
17300009,908.1
17306004,1101.7
17308001,1162.3
17318001,817.5
17323001,832.9
17339002,1104.6
17353001,1173.6
17415003,1236.1
17477001,1175.0
18003003,870.1
18015003,841.7
18033001,720.5
18036001,691.4
18037001,852.7
18047001,864.0
18057003,728.3
18087001,675.3
18089001,697.5
18092001,726.2
18109002,1039.3
18125004,599.0
18172003,758.6
18175003,695.9
18187004,925.9
18207003,724.3
18223003,861.3
18231001,766.8
18242001,726.4
18279001,698.3
19010001,1370.0
19016001,1663.0
19031008,1070.3
19033001,2031.6
19034001,1723.0
19073006,1712.0
19121002,1633.8
19125001,1782.1
19136002,1539.9
19139001,1904.9
19147001,1050.7
19164001,1591.5
19201001,1180.5
19237001,1634.3
19264001,1407.2
19272001,1597.0
19275001,1154.4
19276006,1377.9
19288004,1334.7
20004002,588.3
20004003,431.1
20004014,639.6
20023005,1871.2
20029003,571.5
20033015,514.1
20040001,1873.1
20040004,1613.8
20041001,596.3
20046002,600.9
20047006,1045.0
20050001,588.0
20054002,783.5
20083001,711.0
20092001,817.6
20093002,316.9
20096008,737.1
20096009,1209.4
20107001,384.2
20108002,1962.0
20114002,568.3
20126001,583.7
20135002,1092.4
20142001,1000.9
20148001,419.4
20154001,560.1
20160001,1190.7
20169007,571.7
20185003,529.5
20190002,840.1
20209003,924.7
20211001,1016.1
20223001,565.0
20232002,884.4
20247001,559.0
20249003,528.0
20254006,1437.2
20258001,1081.2
20264002,815.4
20268001,1541.4
20270001,758.2
20272001,567.3
20272004,602.0
20273001,738.1
20281001,494.5
20303001,529.0
20303002,478.1
20312001,1252.3
20314006,577.4
20326001,1017.4
20342001,436.1
20354008,2030.3
20362005,1197.3
21056001,789.1
21065001,874.4
21106001,783.0
21116002,953.1
21131001,819.7
21154001,826.1999999999999
21231001,756.1
21231007,762.1
21310001,913.1
21326001,826.6
21386001,760.3
21395001,764.8
21425001,855.8
21454001,950.9
21473001,719.4
21501003,789.0
21503001,889.9
21519001,961.7
21527001,823.7
21561003,873.3
21564001,730.2
21567001,758.9
21584001,942.1
21603001,660.5
21633002,732.9
21638002,717.3
22005003,925.3
22016001,758.5
22032002,712.9
22033001,944.1
22046003,884.6
22092001,1084.1
22108001,839.3
22113006,932.7
22114003,786.6
22138003,1236.7
22147006,896.0
22168001,822.2
22219003,974.7
22243001,1164.1
22247002,956.9
22261002,754.8
22266001,1099.7
22282001,748.7
22294003,1078.6
22372001,685.0
23008004,889.1
23013001,933.7
23021001,1120.9
23025001,988.3
23030004,1255.3
23031002,913.2
23046001,914.1
23067001,1104.6
23069002,997.5
23075001,1022.8
23079002,1007.5
23089001,931.8000000000001
23090003,1632.7
23113001,982.5
23155001,1325.9
23176001,1164.4
23206002,1011.7
23209001,852.2
24035003,905.3
24037005,936.2
24064001,1088.7
24138004,1117.0
24152001,963.9
24172001,992.4
24226001,970.5
24280001,1111.6
24291001,1006.0
24452001,1082.0
24453001,1202.5
24516002,1051.1
24547002,1088.9
24550003,1033.7
25021001,1250.7
25047001,1122.1
25056001,1187.8
25087002,1141.7
25127001,1511.2
25219002,1440.5
25222001,1563.9
25223002,1386.2
25254001,1817.9
25285001,1714.7
25320001,1683.0
25334001,1821.4
25356003,1414.5
25372001,1080.7
25413001,2045.0
25453001,1507.3
25462001,1455.2
25494001,1464.0
25512001,1365.6
25529002,1137.8
25621001,1932.2
26002003,934.5
26035001,774.0
26047001,953.3
26050001,722.6
26056001,844.2
26059001,1537.0
26064001,769.4
26074001,1226.1
26113003,974.1
26116002,563.1
26124001,647.9
26142001,952.7
26168001,1263.6
26179001,918.1999999999999
26182001,728.6999999999999
26189001,889.5
26198001,613.9
26211001,600.8
26234002,797.2
26258001,664.2
26273002,971.1
26281001,1008.0
26290002,1424.2
26292002,687.3
26295001,1133.9
26298001,1115.8
26307001,1126.4
26313001,884.0
26327001,914.8
26328001,819.8
26330001,1189.2
26340001,899.8
26361001,880.2
26377003,624.2
27016001,698.0
27056003,727.3
27100001,1109.3
27112001,773.0
27306001,676.4
27347001,596.6
27375001,659.4
27422001,612.0
28051002,686.3
28064002,632.1
28070001,671.6
28078001,855.7
28190002,683.3
28195001,726.2
28196003,751.7
28198001,708.1
28206001,551.4
28214003,725.5
28239002,643.9
28280001,811.4
28322001,678.3
28363001,765.9
28373002,842.2
28380003,649.3
28386001,659.1
28406002,652.2
28407001,897.0
29018001,1719.0
29022001,889.6
29041002,1647.4
29075001,1332.5
29082001,889.4
29105800,1204.0
29113001,1104.5
29120001,1123.9
29155005,698.8
29163003,1153.2
29168001,693.6
29170001,1383.5
29178001,934.6
29179001,1162.5
29214001,804.9
29216001,1322.7
29249002,1505.5
29263002,1136.6
29264001,1177.4
29276001,1024.0
29277001,1609.3
29293001,888.5
30003001,184.5
30009001,902.4
30068001,597.3
30076001,628.4
30087002,1088.8
30101001,574.8
30117002,314.5
30129001,796.3
